,type,latitude,longitude
92,Rodent Activity,42.316,-71.0996
162,Pest Infestation - Residential,42.3291,-71.0933
176,Rodent Activity,42.3095,-71.0798
288,Rodent Activity,42.3523,-71.1396
351,Rodent Activity,42.3378,-71.07
402,Rodent Activity,42.3496,-71.0816
404,Rodent Activity,42.3368,-71.0759
430,Rodent Activity,42.2903,-71.0734
434,Rodent Activity,42.3493,-71.0827
440,Rodent Activity,42.3665,-71.0554
497,Pest Infestation - Residential,42.284,-71.0837
584,Rodent Activity,42.3541,-71.075
637,Rodent Activity,42.3464,-71.0682
704,Rodent Activity,42.3594,-71.0587
705,Rodent Activity,42.3594,-71.0587
724,Rodent Activity,42.3038,-71.0847
732,Rodent Activity,42.2939,-71.0588
829,Rodent Activity,42.3594,-71.0587
832,Rodent Activity,42.3506,-71.0603
836,Rodent Activity,42.3506,-71.0603
862,Rodent Activity,42.3369,-71.0759
986,Rodent Activity,42.3594,-71.0587
1155,Rodent Activity,42.3669,-71.0562
1337,Rodent Activity,42.3465,-71.0939
1397,Pest Infestation - Residential,42.3594,-71.0587
1418,Rodent Activity,42.3129,-71.0764
1716,Rodent Activity,42.3365,-71.0755
2229,Rodent Activity,42.3594,-71.0587
2587,Rodent Activity,42.3369,-71.0759
2658,Rodent Activity,42.3294,-71.0866
2688,Pest Infestation - Residential,42.3594,-71.0587
2731,Rodent Activity,42.3507,-71.0878
3031,Rodent Activity,42.3465,-71.0939
3141,Bed Bugs,42.3306,-71.0743
3230,Pest Infestation - Residential,42.3597,-71.1308
3460,Pest Infestation - Residential,42.3798,-71.0269
3486,Rodent Activity,42.3541,-71.1416
3624,Pest Infestation - Residential,42.3297,-71.0972
3846,Rodent Activity,42.3394,-71.0797
3969,Rodent Activity,42.336,-71.0755
4067,Rodent Activity,42.3669,-71.0562
4070,Rodent Activity,42.3291,-71.0933
4244,Rodent Activity,42.2901,-71.0731
4249,Rodent Activity,42.3176,-71.0777
4296,Rodent Activity,42.3367,-71.0758
4322,Rodent Activity,42.3362,-71.077
4483,Rodent Activity,42.354,-71.1416
4625,Rodent Activity,42.3367,-71.0758
4651,Rodent Activity,42.3499,-71.1602
4739,Pest Infestation - Residential,42.3449,-71.1014
4757,Rodent Activity,42.3486,-71.0937
5084,Rodent Activity,42.2962,-71.0872
5387,Pest Infestation - Residential,42.3835,-71.0151
5601,Rodent Activity,42.3603,-71.0583
5810,Pest Infestation - Residential,42.3156,-71.0992
5820,Bed Bugs,42.3357,-71.0538
5863,Rodent Activity,42.3937,-71.0684
5909,Bed Bugs,42.3857,-71.0116
5988,Rodent Activity,42.3818,-71.0354
6149,Rodent Activity,42.3285,-71.0777
6245,Rodent Activity,42.3146,-71.1019
6247,Rodent Activity,42.3297,-71.0972
6344,Rodent Activity,42.3559,-71.0657
6351,Rodent Activity,42.3063,-71.0768
6372,Rodent Activity,42.3594,-71.0587
6378,Rodent Activity,42.3179,-71.0994
6498,Rodent Activity,42.3594,-71.0587
6537,Pest Infestation - Residential,42.3399,-71.0565
6584,Rodent Activity,42.3179,-71.0994
6609,Rodent Activity,42.3176,-71.0996
6627,Pest Infestation - Residential,42.3176,-71.0996
6700,Rodent Activity,42.3538,-71.1455
7011,Rodent Activity,42.3594,-71.0587
7068,Rodent Activity,42.3508,-71.0887
7077,Pest Infestation - Residential,42.3594,-71.0587
7243,Rodent Activity,42.3102,-71.0769
7494,Rodent Activity,42.3803,-71.0645
7549,Rodent Activity,42.3097,-71.0618
7592,Rodent Activity,42.3521,-71.1467
7603,Rodent Activity,42.357,-71.0695
7755,Pest Infestation - Residential,42.311,-71.0603
7829,Pest Infestation - Residential,42.2817,-71.0746
7875,Rodent Activity,42.3952,-71.0001
7921,Rodent Activity,42.3456,-71.0723
8032,Rodent Activity,42.2862,-71.0762
8099,Rodent Activity,42.3799,-71.067
8111,Rodent Activity,42.3127,-71.1116
8112,Rodent Activity,42.3152,-71.0569
8150,Pest Infestation - Residential,42.2801,-71.1227
8157,Pest Infestation - Residential,42.3692,-71.0372
8244,Rodent Activity,42.3109,-71.0608
8272,Rodent Activity,42.372,-71.0581
8301,Rodent Activity,42.3025,-71.0571
8392,Rodent Activity,42.3496,-71.0851
8630,Rodent Activity,42.295,-71.0527
8706,Pest Infestation - Residential,42.3507,-71.076
8896,Bed Bugs,42.3463,-71.0941
8930,Rodent Activity,42.3294,-71.0845
8979,Pest Infestation - Residential,42.3546,-71.1496
9091,Bed Bugs,42.2803,-71.0831
9111,Pest Infestation - Residential,42.3599,-71.0631
9148,Rodent Activity,42.3142,-71.0572
9151,Rodent Activity,42.3101,-71.0767
9268,Rodent Activity,42.276,-71.0927
9282,Pest Infestation - Residential,42.3485,-71.0679
9365,Rodent Activity,42.348,-71.1672
9483,Pest Infestation - Residential,42.3507,-71.076
9489,Rodent Activity,42.346,-71.1515
9520,Pest Infestation - Residential,42.3172,-71.0618
9661,Rodent Activity,42.3617,-71.1307
9668,Rodent Activity,42.3234,-71.1069
9674,Rodent Activity,42.3356,-71.0754
9677,Rodent Activity,42.3367,-71.0758
9693,Rodent Activity,42.3178,-71.0993
9694,Rodent Activity,42.3369,-71.0759
9787,Rodent Activity,42.295,-71.0527
9815,Rodent Activity,42.3594,-71.0587
9825,Rodent Activity,42.3145,-71.1019
9908,Rodent Activity,42.348,-71.1672
9938,Bed Bugs,42.3277,-71.0529
9986,Bed Bugs,42.3105,-71.0686
10011,Rodent Activity,42.3003,-71.0832
10165,Rodent Activity,42.3744,-71.0616
10189,Pest Infestation - Residential,42.3148,-71.0772
10226,Rodent Activity,42.3368,-71.0759
10299,Rodent Activity,42.3291,-71.0847
10494,Rodent Activity,42.3487,-71.0671
10616,Rodent Activity,42.3241,-71.1107
10692,Rodent Activity,42.3594,-71.0587
10744,Rodent Activity,42.349,-71.0671
10786,Pest Infestation - Residential,42.3594,-71.0587
10806,Pest Infestation - Residential,42.3524,-71.0811
10834,Rodent Activity,42.3179,-71.0994
10872,Pest Infestation - Residential,42.3204,-71.0822
10940,Rodent Activity,42.2849,-71.1471
11256,Rodent Activity,42.3426,-71.0746
11286,Bed Bugs,42.2982,-71.0849
11347,Rodent Activity,42.3242,-71.081
11348,Rodent Activity,42.3154,-71.0914
11451,Rodent Activity,42.3487,-71.0676
11502,Rodent Activity,42.3485,-71.0679
11573,Rodent Activity,42.307,-71.1124
11588,Rodent Activity,42.3516,-71.1233
11634,Rodent Activity,42.2956,-71.0862
11686,Rodent Activity,42.3384,-71.0786
11865,Rodent Activity,42.3354,-71.0752
11867,Rodent Activity,42.338,-71.0703
11877,Rodent Activity,42.3353,-71.0751
12056,Rodent Activity,42.3594,-71.0587
12071,Rodent Activity,42.322,-71.0803
12243,Rodent Activity,42.3594,-71.0587
12276,Rodent Activity,42.3364,-71.0306
12321,Rodent Activity,42.3589,-71.1467
12346,Pest Infestation - Residential,42.3149,-71.0697
12441,Rodent Activity,42.3594,-71.0587
12507,Rodent Activity,42.3077,-71.0767
12945,Rodent Activity,42.3153,-71.0824
12989,Bed Bugs,42.3504,-71.1327
13026,Rodent Activity,42.3594,-71.0587
13070,Pest Infestation - Residential,42.3486,-71.0937
13549,Bed Bugs,42.3794,-71.028
13566,Rodent Activity,42.3241,-71.1107
13581,Rodent Activity,42.3241,-71.1107
13640,Rodent Activity,42.3594,-71.0587
13661,Rodent Activity,42.3496,-71.0835
13772,Pest Infestation - Residential,42.334,-71.075
13842,Rodent Activity,42.3595,-71.0588
13857,Rodent Activity,42.3489,-71.0677
14360,Rodent Activity,42.3836,-71.0151
14385,Rodent Activity,42.3496,-71.0835
14430,Rodent Activity,42.3492,-71.0832
14432,Rodent Activity,42.3489,-71.0827
14530,Pest Infestation - Residential,42.3297,-71.0972
14660,Pest Infestation - Residential,42.3798,-71.0668
14942,Bed Bugs,42.2771,-71.1273
15043,Bed Bugs,42.3769,-71.0339
15128,Rodent Activity,42.3594,-71.0587
15222,Rodent Activity,42.3673,-71.0567
15275,Rodent Activity,42.3485,-71.0679
15301,Rodent Activity,42.3594,-71.0587
15303,Rodent Activity,42.3594,-71.0587
15318,Pest Infestation - Residential,42.3642,-71.0628
15406,Rodent Activity,42.3398,-71.0805
15487,Rodent Activity,42.3594,-71.0587
15760,Rodent Activity,42.3489,-71.0828
15951,Rodent Activity,42.3647,-71.0543
16088,Rodent Activity,42.3487,-71.1353
16217,Pest Infestation - Residential,42.2846,-71.0619
16224,Rodent Activity,42.349,-71.1703
16239,Rodent Activity,42.3485,-71.0679
16326,Rodent Activity,42.3794,-71.0665
16357,Pest Infestation - Residential,42.3137,-71.1043
16364,Pest Infestation - Residential,42.3321,-71.0381
16605,Rodent Activity,42.3481,-71.0874
16612,Rodent Activity,42.3485,-71.0679
16821,Rodent Activity,42.3809,-71.0703
16829,Rodent Activity,42.3804,-71.0703
17165,Rodent Activity,42.2933,-71.1336
17273,Rodent Activity,42.3366,-71.097
17296,Rodent Activity,42.3465,-71.0798
17300,Pest Infestation - Residential,42.3482,-71.0938
17303,Rodent Activity,42.3422,-71.0847
17313,Rodent Activity,42.349,-71.1402
17357,Bed Bugs,42.3382,-71.1472
17392,Rodent Activity,42.3179,-71.099
17402,Rodent Activity,42.3178,-71.0992
17647,Pest Infestation - Residential,42.3458,-71.073
17677,Bed Bugs,42.3485,-71.1361
17771,Rodent Activity,42.3594,-71.0587
18078,Rodent Activity,42.3594,-71.0587
18142,Pest Infestation - Residential,42.2964,-71.0568
18187,Bed Bugs,42.3109,-71.0627
18220,Rodent Activity,42.3143,-71.084
18246,Rodent Activity,42.349,-71.1355
18348,Rodent Activity,42.2838,-71.0726
18465,Pest Infestation - Residential,42.3238,-71.077
