,type,latitude,longitude
19,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3589,-71.1409
23,Improper Storage of Trash (Barrels),42.3605,-71.0661
28,Improper Storage of Trash (Barrels),42.3436,-71.0703
30,Improper Storage of Trash (Barrels),42.3617,-71.0535
45,Improper Storage of Trash (Barrels),42.3643,-71.0527
54,Improper Storage of Trash (Barrels),42.3594,-71.0587
58,Improper Storage of Trash (Barrels),42.3795,-71.038
64,Improper Storage of Trash (Barrels),42.3447,-71.0812
65,Improper Storage of Trash (Barrels),42.3594,-71.0587
70,Improper Storage of Trash (Barrels),42.35,-71.0572
79,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3592,-71.141
81,Improper Storage of Trash (Barrels),42.3638,-71.0566
101,Improper Storage of Trash (Barrels),42.3594,-71.0587
107,Improper Storage of Trash (Barrels),42.3407,-71.0803
114,Improper Storage of Trash (Barrels),42.3646,-71.0307
120,Improper Storage of Trash (Barrels),42.3383,-71.0799
129,Improper Storage of Trash (Barrels),42.322,-71.1081
132,Improper Storage of Trash (Barrels),42.3452,-71.0718
149,Improper Storage of Trash (Barrels),42.3422,-71.1487
179,Improper Storage of Trash (Barrels),42.2965,-71.0724
183,Improper Storage of Trash (Barrels),42.3498,-71.0877
186,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3271,-71.0926
196,Improper Storage of Trash (Barrels),42.3207,-71.0759
200,Missed Trash/Recycling/Yard Waste/Bulk Item,42.261,-71.1568
218,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3591,-71.1408
219,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3591,-71.1408
223,Improper Storage of Trash (Barrels),42.3118,-71.0594
231,Improper Storage of Trash (Barrels),42.3486,-71.07
254,Improper Storage of Trash (Barrels),42.3486,-71.0937
255,Improper Storage of Trash (Barrels),42.3594,-71.0587
276,Improper Storage of Trash (Barrels),42.3553,-71.131
278,Trash on Vacant Lot,42.3595,-71.0588
285,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3211,-71.0623
290,Improper Storage of Trash (Barrels),42.3594,-71.0587
295,Improper Storage of Trash (Barrels),42.3092,-71.0841
325,Improper Storage of Trash (Barrels),42.382,-71.0702
328,Improper Storage of Trash (Barrels),42.36,-71.0665
329,Improper Storage of Trash (Barrels),42.3605,-71.0665
330,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3191,-71.0907
342,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3116,-71.088
355,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3075,-71.0857
356,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3265,-71.0941
357,Improper Storage of Trash (Barrels),42.3531,-71.077
390,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3265,-71.0818
393,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3271,-71.0776
405,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3243,-71.0898
406,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3191,-71.0907
410,Trash on Vacant Lot,42.3433,-71.0733
435,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3265,-71.0776
486,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3589,-71.1281
495,Improper Storage of Trash (Barrels),42.354,-71.0767
515,Improper Storage of Trash (Barrels),42.3532,-71.0762
518,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2727,-71.0795
524,Improper Storage of Trash (Barrels),42.3781,-71.0661
526,Improper Storage of Trash (Barrels),42.3318,-71.0484
527,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3223,-71.1041
530,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2943,-71.1618
533,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3223,-71.1041
536,Improper Storage of Trash (Barrels),42.3606,-71.0671
559,Improper Storage of Trash (Barrels),42.3594,-71.0587
564,Improper Storage of Trash (Barrels),42.3666,-71.0529
577,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2616,-71.1653
589,Overflowing or Un-kept Dumpster,42.3435,-71.0669
593,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3221,-71.0804
653,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2947,-71.1627
698,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3291,-71.0942
701,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2464,-71.1134
717,Improper Storage of Trash (Barrels),42.3486,-71.0937
722,Improper Storage of Trash (Barrels),42.3038,-71.0847
726,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3583,-71.0703
740,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2859,-71.0924
752,Improper Storage of Trash (Barrels),42.3091,-71.078
756,Improper Storage of Trash (Barrels),42.3429,-71.0778
757,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3764,-71.0384
781,Improper Storage of Trash (Barrels),42.3585,-71.0709
798,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2619,-71.1626
